SampleID,P,N,E,variable,value,label,unit,group
R-N2-13,Ryegrass,100%,-E,N_availability,42.5291370112559,Available N,mg kg^-1,available_N
R-N2-13,Ryegrass,100%,-E,pH,7.06,pH,,supplement
R-N2-13,Ryegrass,100%,-E,Soil_moisture,16.211504938989,Soil moisture,%,supplement
R-N2-17,Ryegrass,100%,-E,TC_gkg,16.5846645832062,TC,g kg^-1,core
R-N2-17,Ryegrass,100%,-E,TN_gkg,0.800571441650391,TN,g kg^-1,core
R-N2-17,Ryegrass,100%,-E,SOC_gkg,2.45238237175467,SOC,g kg^-1,core
R-N2-17,Ryegrass,100%,-E,NO3_N,39.9715916354611,NO3-N,mg kg^-1,available_N
R-N2-17,Ryegrass,100%,-E,NH4_N,11.1948974002588,NH4-N,mg kg^-1,available_N
R-N2-17,Ryegrass,100%,-E,N_availability,51.1664890357199,Available N,mg kg^-1,available_N
R-N2-17,Ryegrass,100%,-E,pH,7.38,pH,,supplement
R-N2-17,Ryegrass,100%,-E,Soil_moisture,11.7352614015573,Soil moisture,%,supplement
R-N3-11,Ryegrass,150%,-E,TC_gkg,20.5593729019165,TC,g kg^-1,core
R-N3-11,Ryegrass,150%,-E,TN_gkg,0.806129574775696,TN,g kg^-1,core
R-N3-11,Ryegrass,150%,-E,SOC_gkg,1.92281158523315,SOC,g kg^-1,core
R-N3-11,Ryegrass,150%,-E,NO3_N,46.0033110162486,NO3-N,mg kg^-1,available_N
R-N3-11,Ryegrass,150%,-E,NH4_N,14.3612872185914,NH4-N,mg kg^-1,available_N
R-N3-11,Ryegrass,150%,-E,N_availability,60.3645982348401,Available N,mg kg^-1,available_N
R-N3-11,Ryegrass,150%,-E,pH,7.05,pH,,supplement
R-N3-11,Ryegrass,150%,-E,Soil_moisture,16.231884057971,Soil moisture,%,supplement
R-N3-13,Ryegrass,150%,-E,TC_gkg,14.420473575592,TC,g kg^-1,core
R-N3-13,Ryegrass,150%,-E,TN_gkg,0.697777271270752,TN,g kg^-1,core
R-N3-13,Ryegrass,150%,-E,SOC_gkg,1.75593414650691,SOC,g kg^-1,core
R-N3-13,Ryegrass,150%,-E,NO3_N,28.9483949221097,NO3-N,mg kg^-1,available_N
R-N3-13,Ryegrass,150%,-E,NH4_N,16.9249388254606,NH4-N,mg kg^-1,available_N
