SampleID,作物,氮水平,蚯蚓处理,variable,variable_label,value,unit,variable_group
R-N1-13,黑麦草,50%氮肥,不加蚯蚓,TC_gkg,TC,15.5490601062775,g kg^-1,C_N_pool
R-N1-13,黑麦草,50%氮肥,不加蚯蚓,TN_gkg,TN,0.550331473350525,g kg^-1,C_N_pool
R-N1-13,黑麦草,50%氮肥,不加蚯蚓,SOC_gkg,SOC,1.54783196335782,g kg^-1,C_N_pool
R-N1-13,黑麦草,50%氮肥,不加蚯蚓,NO3_N,NO3--N,42.5456559203729,mg kg^-1,available_N
R-N1-13,黑麦草,50%氮肥,不加蚯蚓,NH4_N,NH4+-N,13.1023513937077,mg kg^-1,available_N
R-N1-13,黑麦草,50%氮肥,不加蚯蚓,N_availability,Available N,55.6480073140806,mg kg^-1,available_N
R-N1-13,黑麦草,50%氮肥,不加蚯蚓,pH,pH,7.31,none,supplement
R-N1-13,黑麦草,50%氮肥,不加蚯蚓,Soil_moisture,Soil moisture,12.9848229342327,%,supplement
R-N1-17,黑麦草,50%氮肥,不加蚯蚓,TC_gkg,TC,17.2490990161896,g kg^-1,C_N_pool
R-N1-17,黑麦草,50%氮肥,不加蚯蚓,TN_gkg,TN,0.524007380008698,g kg^-1,C_N_pool
R-N1-17,黑麦草,50%氮肥,不加蚯蚓,SOC_gkg,SOC,2.5613138531915,g kg^-1,C_N_pool
R-N1-17,黑麦草,50%氮肥,不加蚯蚓,NO3_N,NO3--N,34.3489043023499,mg kg^-1,available_N
R-N1-17,黑麦草,50%氮肥,不加蚯蚓,NH4_N,NH4+-N,8.31336887334271,mg kg^-1,available_N
R-N1-17,黑麦草,50%氮肥,不加蚯蚓,N_availability,Available N,42.6622731756926,mg kg^-1,available_N
R-N1-17,黑麦草,50%氮肥,不加蚯蚓,pH,pH,7.35,none,supplement
R-N1-17,黑麦草,50%氮肥,不加蚯蚓,Soil_moisture,Soil moisture,11.0188261351052,%,supplement
R-N2-11,黑麦草,100%氮肥,不加蚯蚓,TC_gkg,TC,16.4527499675751,g kg^-1,C_N_pool
R-N2-11,黑麦草,100%氮肥,不加蚯蚓,TN_gkg,TN,0.577217973768711,g kg^-1,C_N_pool
